软件工程师,job_id,job_count,job_name,tier2
479,1749,864,销售支持,
480,702,863,市场营销经理,
481,1493,862,药剂师,
482,1628,862,贸易跟单,
483,693,857,市场文案策划,
484,1823,855,餐厅领班,
485,997,854,机械设计师,
486,1620,854,质量管理/测试经理,
487,1113,853,渠道/分销总监,
488,951,849,旅游顾问,
489,290,849,分公司/代表处负责人,
490,1206,847,理货/分拣/打包,
491,1506,841,营运经理,
492,852,836,技术工程师,
493,648,836,嵌入式软件开发(Linux/单片机/PLC/DSP…),
494,964,833,智能大厦/布线/弱电/安防,
495,1298,830,知识产权/专利顾问/代理人,
496,833,829,房地产项目/策划主管/专员,
497,1621,825,质量管理/测试经理(QA/QC经理),
498,1646,824,车险专员,
499,163,822,会计经理/会计主管,
500,1395,821,网店店长,
501,1073,821,法务专员/助理,
502,345,821,化工实验室研究员/技术员,
503,529,819,多媒体/动画设计,
504,206,815,保险客户经理,
505,214,814,保险经纪人/保险代理,
506,708,811,市政工程师,
507,466,811,商务经理/主管,
508,1230,809,生产领班/组长,
509,96,806,产品/品牌专员,
510,1513,806,融资专员,
511,3,796,Android开发工程师,
512,647,795,嵌入式软件开发,
513,181,795,促销主管/督导,
514,772,795,影视/后期制作,
515,1270,792,电梯工,
516,1452,787,美术教师,
517,197,786,保险业务经理/主管,
518,1044,784,汽车售后服务/客户服务,
519,44,783,VIP专员,
520,639,779,小学老师,
521,922,779,数据库开发工程师,
522,1112,776,渠道/分销主管,
523,948,774,旅游产品销售,
524,1679,767,部门/事业部管理,
525,695,764,市场策划/企划专员/助理,
526,651,760,工业工程师,
527,1363,758,经销商,
528,55,757,业务分析专员/助理,
529,120,754,人事总监,
530,504,752,培训专员/助理/培训师,
531,755,751,建筑安装施工员,
532,444,748,品牌/连锁招商管理,
533,1215,748,生产主管/督导/组长,
534,1563,746,认证/体系工程师/审核员,
535,1472,745,船务/空运陆运操作,
536,1315,743,磨工/冲压工,
537,779,741,律师/法律顾问,
538,570,739,安全管理,
539,780,738,律师助理,
540,611,737,客服经理,
541,820,735,房地产内勤,
542,1178,735,猎头/人才中介,
543,1772,730,集成电路IC设计/应用工程师,
544,227,727,信贷管理/资信评估,
545,1,727,4S店管理,
546,1295,726,督导,
547,383,724,医药销售人员,
548,173,721,供应商开发,
549,1579,719,证券分析/金融研究,
550,1421,714,网络管理(Helpdesk),
551,1778,713,需求工程师,
552,1351,711,系统集成工程师,
553,1259,706,电子商务,
554,37,704,PHP开发工程师,
555,689,702,市场分析/调研人员,
556,549,701,娱乐休闲其他,
557,816,700,房产项目配套工程师,
558,764,699,建筑机电工程师,
559,442,697,咨询顾问,
560,128,694,人力资源总监,
561,307,693,制冷/水暖工,
562,1391,692,网店/淘宝店长,
563,1851,692,高级硬件工程师,
564,1366,690,绘画,
565,1758,687,销售行政经理/主管,
566,74,685,临床研究员,
567,1688,684,酒店其他,
568,1184,675,环保工程师,
569,510,674,培训督导,
570,1686,674,酒店/宾馆经理,
571,1456,672,美编/美术设计,
572,320,671,副总经理/副总裁,
573,1716,671,钟点工,
574,965,670,智能大厦/综合布线/安防/弱电,
575,1588,669,调度员,
576,507,669,培训助理/助教,
577,211,667,保险电销,
578,333,667,包装设计,
579,1641,665,车床/磨床/铣床/冲床工,
580,789,660,快递员/速递员,
581,805,660,成本管理员,
582,900,659,搬运工,
583,1666,655,选址拓展/新店开发,
584,1325,654,程序员,
585,1186,653,环保技术工程师,
586,457,652,售前/售后技术支持经理,
587,1505,652,营运主管,
588,625,652,家教,
589,506,650,培训助理,
590,1540,646,裱花师,
591,1427,646,网页设计/制作,
592,1765,646,防损员/内保,
593,330,645,助理业务跟单,
594,226,644,信贷管理,
